"znf750"
"itln1"
"gjb1"
"tp63"
"sp9"
"lox"
"lamc2"
"mmp11"
"otog"
"foxa1"
"slc4a1"
"foxi1"
"slc4a9"
"sox10"
"pax3"
"pax7"
"mitf"
"tyr"
"dct"
"tyrp"
"egr2"
"tbx2"
