"krt2l.L"
"krt2l.S"
"krt5.1-like.2.L"
"krt5.1-like.2.S"
"krt5.6.L"
"krt5.6.S"
"krt5.7.L"
"krt5.7.S"
"krt6.L"
"krt6.S"
"krt8.L"
"krt8.S"
"krt8.2.L"
"krt8.2.S"
"krt12.L"
"krt12.S"
"krt14.L"
"krt15.L"
"krt16.L"
"krt16.S"
"krt17.L"
"krt17.S"
"krt18.L"
"krt18.S"
"krt19.L"
"krt24-like.1.L"
"krt24-like.1.S"
"krt24-like.L"
"krt75.L"
"krt80.L"
"krt80.S"
"krt222.L"
"krt222.S"
"krt.L"
"krt.S"
