"gata3"
"cd4"
"cd79a"
"cd3e"
"tox2"
"cxcr6"
"tbx21"
"rag1"
"rag2"
"gata2"
"il4r"
"hes1"
"tal1"
"myb"
"runx1"
"il6r"
"cd19"
"eomes"
"spi1"
"cebpa"
"cd71"
"cxcr2"
"ccr2"
"ccr3"
"epor"
"gata1"
