"arx"
"nkx6-2"
"pax6"
"nkx6-1"
"irx3"
"dbx1"
"olig2"
"ascl1"
"neurod1"
"neurod4"
"evx1"
"evx2"
"pax2"
"lhx1"
"mnx1"
"isl1"
"chat"
"vsx2"
"pou4f1"
"tlx1"
"tlx3"
"mmp15"
"mmp17"
"tubb3"
"gata2"
"gata3"
"th"
"tph1"
"foxa2"
"ascl"
"foxa1"
"lep"
"lepr"
"mbp"
